  #	  Qty	Unit  	Description           	Designators  	Per Harness
  1	    1	      	Spare fastener 01     	             	mp-examples-ex01: 1
  2	    1	      	Spare fastener 02     	             	mp-examples-ex01: 1
  3	    1	      	Spare fastener 03     	             	mp-examples-ex01: 1
  4	    1	      	Spare fastener 04     	             	mp-examples-ex01: 1
  5	    1	      	Spare fastener 05     	             	mp-examples-ex01: 1
  6	    1	      	Spare fastener 06     	             	mp-examples-ex01: 1
  7	    1	      	Spare fastener 07     	             	mp-examples-ex01: 1
  8	    1	      	Spare fastener 08     	             	mp-examples-ex01: 1
  9	    1	      	Spare fastener 09     	             	mp-examples-ex01: 1
 10	    1	      	Spare fastener 10     	             	mp-examples-ex01: 1
 11	    1	      	Spare fastener 11     	             	mp-examples-ex01: 1
 12	    1	      	Spare fastener 12     	             	mp-examples-ex01: 1
 13	    1	      	Spare fastener 13     	             	mp-examples-ex01: 1
 14	    1	      	Spare fastener 14     	             	mp-examples-ex01: 1
 15	    1	      	Spare fastener 15     	             	mp-examples-ex01: 1
 16	    1	      	Cable, 12 wires       	             	mp-examples-ex01: 1
 17	    1	      	Connector, , , 12 pins	             	mp-examples-ex01: 1
 18	    1	      	Connector, , , 12 pins	             	mp-examples-ex01: 1
