  #	  Qty	Unit  	Description                            	Designators  	Per Harness
  4	  1  	      	Cable, 2 x 0.25 mm²                    	             	WV-DEMO-02-demo02: 1
  5	  2  	      	Connector, Crimp ferrule, 0.25 mm², YE 	             	WV-DEMO-02-demo02: 2
  6	  2  	      	Connector, Molex KK 254, female, 4 pins	             	WV-DEMO-02-demo02: 2
  7	  1  	      	Connector, Molex KK 254, female, 5 pins	             	WV-DEMO-02-demo02: 1
  8	  1  	      	Connector, Molex KK 254, female, 8 pins	             	WV-DEMO-02-demo02: 1
  9	  0.9	m     	Wire, 0.14 mm², BK                     	             	WV-DEMO-02-demo02: 0.90 m
 10	  0.3	m     	Wire, 0.14 mm², BU                     	             	WV-DEMO-02-demo02: 0.30 m
 11	  0.6	m     	Wire, 0.14 mm², GN                     	             	WV-DEMO-02-demo02: 0.60 m
 12	  0.3	m     	Wire, 0.14 mm², OG                     	             	WV-DEMO-02-demo02: 0.30 m
 13	  0.6	m     	Wire, 0.14 mm², RD                     	             	WV-DEMO-02-demo02: 0.60 m
 14	  0.3	m     	Wire, 0.14 mm², VT                     	             	WV-DEMO-02-demo02: 0.30 m
 15	  0.6	m     	Wire, 0.14 mm², YE                     	             	WV-DEMO-02-demo02: 0.60 m
