  #	  Qty	Unit  	Description                            	Designators  	Per Harness
  1	  1  	      	Connector, D-Sub, female, 9 pins       	             	test-01-demo01: 1
  2	  1  	      	Connector, Molex KK 254, female, 3 pins	             	test-01-demo01: 1
  3	  1  	      	Cable, 3 x 0.25 mm² shielded           	             	test-01-demo01: 1
  4	  2  	      	Connector, Crimp ferrule, 0.25 mm², YE 	             	test-01-demo02: 2
  5	  2  	      	Connector, Molex KK 254, female, 4 pins	             	test-01-demo02: 2
  6	  1  	      	Connector, Molex KK 254, female, 5 pins	             	test-01-demo02: 1
  7	  1  	      	Connector, Molex KK 254, female, 8 pins	             	test-01-demo02: 1
  8	  1  	      	Cable, 2 x 0.25 mm²                    	             	test-01-demo02: 1
  9	  0.9	m     	Wire, 0.14 mm², BK                     	             	test-01-demo02: 0.90 m
 10	  0.3	m     	Wire, 0.14 mm², BU                     	             	test-01-demo02: 0.30 m
 11	  0.6	m     	Wire, 0.14 mm², GN                     	             	test-01-demo02: 0.60 m
 12	  0.3	m     	Wire, 0.14 mm², OG                     	             	test-01-demo02: 0.30 m
 13	  0.6	m     	Wire, 0.14 mm², RD                     	             	test-01-demo02: 0.60 m
 14	  0.3	m     	Wire, 0.14 mm², VT                     	             	test-01-demo02: 0.30 m
 15	  0.6	m     	Wire, 0.14 mm², YE                     	             	test-01-demo02: 0.60 m
